Domaine;Titre;Sous_Titre;Référence_Reglementaire;ID_Article;Exigence;Documents_Justificatif;Lien_1;Lien_2;Lien_3;Lien_4;Derniere_verification_JO
Autorisations et gouvernance Environnementales;Délégués pour l’environnement;Nommination de Délégués pour l’environnement;"Décert exécutif 05-240 du 28 juin 2005 fixant les modalités de désignation des délégués pour l’environnement; Art. 2";2;Pour les installations classées de premiére (1) et de deuxiéme (2) catégories disposant de structures en matiére de protection de l’environnement, le responsable de ces structures est le délégué pour l’environnement au sens des dispositions du présent décret.;Lettre de nomination de la personne responsable de la structure de protection de l environnement;1.1;0;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Délégués pour l’environnement;Nommination de Délégués pour l’environnement;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l environnement; Art. 3";3;Pour les installations classées de premiére catégorie ne disposant pas de structures en matiére de protection de l’environnement, l’exploitant désigne un délégué pour l’environnement, cette désignation est soumise à l’agrément du ministre chargé de l’environnement;Approbation du délégué pour l environnement du ministre de l Environnement;1.1;0;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Délégués pour l’environnement;Nommination de Délégués pour l’environnement;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l environnement; Art. 4";4;Pour les installations classées de deuxiéme catégorie ne disposant pas de structures en matiére de protection de l’environnement, l’exploitant désigne un délégué pour l’environnement et en informe le wali territorialement compétent.;Notification de la nomination du délégué pour l environnement au gouverneur compétent (WALI);1.1;0;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Délégués pour l’environnement;Nommination de Délégués pour l’environnement;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l environnement; Art. 5";5; Pour les installations classées de troisiéme catégorie, l’exploitant peut assurer lui-même le rôle du délégué pour l’environnement ou désigne un délégué. L’exploitant en informe le wali et le président de l’assemblée populaire communale territorialement compétents.;Notification de la nomination du délégué pour l environnement au gouverneur compétent (WALI) et le président de APC;1.1;0;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Délégués pour l’environnement;Missions  de Délégués pour l’environnement;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l environnement; Art. 6";6;Sous l’autorité et la responsabilité de l’exploitant, le délégué pour l’environnement est chargé de recevoir et de renseigner, sauf dans le cas relevant explicitement de la responsabilité de l’exploitant, toute autorité de contrôle en matiére d’environnement, à ce titre il est chargé : — d’élaborer et de tenir à jour l’inventaire des pollutions de l’établissement concerné (effluents liquides, gazeux, déchets solides, nuisances acoustiques) et de leurs impacts, — de contribuer, pour le compte de l’exploitant, à la mise en œuvre des obligations environnementales de l’établissement classé concerné, prévues par les dispositions législatives et réglementaires en vigueur, — d’assurer la sensibilisation du personnel de l’établissement classé en matiére d’environnement,;document décrivant les roles et responsabilitées de déléguée a l environnement;1.1;0;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Délégués pour l’environnement;Moyens a mettre en place pour le Délégués pour l’environnement;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l environnement; Art. 7";7;L’exploitant de l’établissement est tenu de doter le délégué pour l’environnement des moyens lui permettant d’assurer ses missions.;Dossiers de formation de déléguée de l environnement Moyens matériel pour assurer ses fonctions;1.1;0;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Fermeture  du site;Notification des autorité;"Décret exécutif n° 22-167 du 19 Avril 2022 JO N° 29 du 24 Avril 2022, Page 8 Art. 8 modifiant Art. 41 du Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement;";8;Si l’établissement classé ou, au moins, une de ses installations est mis(e) à l’arrêt définitif, son exploitant est tenu de remettre le site, objet de la mise à l’arrêt définitif, dans un état tel qu’il ne s’y manifeste aucun danger ou inconvénient pour l’environnement;0;1.2;0;0;0;10/07/2026
Autorisations et gouvernance Environnementales;Fermeture  du site;Plan de dépollutions;"Décret exécutif n° 22-167 du 19 Avril 2022 JO N° 29 du 24 Avril 2022, Page 8 Art. 9 modifiant Art. 42 du Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement;";9;L’exploitant doit déclarer la mise à l’arrêt définitif de son établissement classé ou d’au moins, une de ses installations. Les conditions et les modalités de mise à l’arrêt définitif de l’établissement classé ou d’au moins, une de ses installations ainsi que le contrôle de leur exécution, sont définis par arrêté du ministre chargé de l’environnement ;Notification de fermeture et plan de dépollution;1.2 ;1.2.1;0;0;11/07/2026
Autorisations et gouvernance Environnementales;Taxes et frais environnementaux;Taxes sur les  installations classées;" Décret exécutif n ° 09-336 sur la taxe sur les activités polluantes et dangereuses pour l environnement; Art. 2 Loi 99-11 du 23 décembre 1999 concernant la loi financiére pour l année 2000; Art. 54 Loi 01-21 du 22 décembre 2001 concernant la loi financiére pour l année 2002; Art. 202 ";2;Sur la base de la nomenclature des installations classées pour la protection de l environnement, la liste des activités polluantes ou dangereuses pour l environnement soumises à la taxe figure à l annexe du présent décret.;Preuve de paiement de la taxe sur les activités polluantes et dangereuses;1.3;1.3.1 ;1.3.2;0;11/07/2026
Autorisations et gouvernance Environnementales;Taxes et frais environnementaux;Taxes de stockage de déchets;"Loi 01-21 du 22 décembre 2001 concernant la loi financiére pour l année 2002; Art. 203";203;Si l installation stocke les déchets dangereux industriels, il a payé l impôt sur le stockage des déchets dangereux.;Preuve de paiement de la taxe sur le stockage des déchets dangereux;1.3.2;0;0;0;11/07/2026
